case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
5572,PA,Yes (All),1930,Strongly disapprove,(Dont know),Very,Not at all,Strongly approve,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,(Dont know),Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Not very,Not at all,(Dont know),Favor,Favor,Too little,A great deal,No difference,No silver lining,No,Somewhat,No,Democrat Hillary Clinton,(Graduate degree),Liberal,Very liberal, , ,Neither, , ,Lean Democratic, ,Yes,All or almost all calls received on a cell phone,No,White,No,Suburban,"$50,000 to under $75,000",PA,Female,65+,90,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Close,Very Liberal,Very Liberal,Lean Democrat,Lean Democarat,.736575474,Landline
5577,PA,Yes (All),1948,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,(Mixed),"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,Somewhat,No difference,Preparation for the future / Better prepared for future outbreaks,No,Very,No,Democrat Hillary Clinton,(High school graduate_GED_High school equivalency),Liberal,Somewhat liberal, , ,Democrat,Strong, , , ,Yes,All or almost all calls received on a cell phone,No,White,No,Urban,"$30,000 to under $50,000",PA,Male,65+,72,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Close,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.778954619,Landline
5591,CT,Yes (All),1930,Strongly disapprove,Disapprove,Very,Very,Strongly approve,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,(Dont know),Reacting appropriately,Nothing could have prevented it from spreading the way it has,"No, does not describe","Yes, describes","No, does not describe","Yes, describes",Very,Very,Not very,Not very,Very,Favor,Favor,Just about right,A great deal,No difference,Other,No,Very,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Neither, , ,Lean Democratic, ,Yes,Very few or none received on a cell phone?,No,White,No,Rural,DO NOT READ -- (Refused_Dont know),CT,Male,65+,90,Democrat,CONSRV (very + somewhat conservative),no,Northeast,Close,Somewhat Conservative,Somewhat Conservative,Lean Democrat,Lean Democarat,.668517828,Landline
5592,ME,Yes (All),1954,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,Too little,Somewhat,No difference,Other,No,Very,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Democrat,Strong, , , ,Yes,All or almost all calls received on a cell phone,No,White,No,Rural,"$75,000 to under $100,000",ME,Female,65+,66,Democrat,"MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,.71300549,Landline
5596,RI,Yes (All),1949,Strongly disapprove,Approve,Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Not at all,Somewhat,Favor,Favor,Just about right,Somewhat,No difference,Preparation for the future / Better prepared for future outbreaks,No,Not at all,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Democrat,Strong, , , ,Yes,Some received on a cell phone and some on a regular home phone,No,White,No,Small town,"$75,000 to under $100,000",RI,Female,65+,71,Democrat,"MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,.720735142,Landline
5597,NJ,Yes (All),1957,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Very,Favor,Favor,Too little,A great deal,More,Preparation for the future / Better prepared for future outbreaks,Yes,Very,No,Democrat Hillary Clinton,(Graduate degree),Liberal,Somewhat liberal, , ,Neither, , ,Dont lean either way, ,Yes,All or almost all calls received on a cell phone,Yes,White,No,Suburban,"$75,000 to under $100,000",NJ,Female,55-64,63,Independent + other,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Independent,Independent,.985997857,Landline
5598,NJ,Yes (All),1939,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Very,Somewhat,Very,Favor,Favor,Too little,A great deal,More,Will hurt Trump s reelection / Trump negative,Yes,Very,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , , ,Yes,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,DO NOT READ -- (Refused_Dont know),NJ,Female,65+,81,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.720735142,Landline
5600,MN,Yes (All),1959,Somewhat approve,Disapprove,Very,Not very,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat disapprove,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Somewhat,Somewhat,Very,Favor,Favor,Just about right,Somewhat,More,Bringing people together / Sense of community,No,Somewhat,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, , ,No, ,No,White,No,Suburban,DO NOT READ -- (Refused_Dont know),MN,Female,55-64,61,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Clinton 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.80052247,Landline
5603,CO,Yes (All),1948,Strongly disapprove,Disapprove,Very,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Strongly approve,(Neither),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Somewhat,Very,Favor,Favor,Too little,A great deal,More,Will hurt Trump s reelection / Trump negative,Yes,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Neither, , ,Lean Democratic, ,Yes,Some received on a cell phone and some on a regular home phone,No,White,No,Rural,"$75,000 to under $100,000",CO,Female,65+,72,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Trump 10%+,Somewhat Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,.71300549,Landline
5605,CO,Yes (All),1952,Strongly disapprove,Disapprove,Very,Somewhat,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly approve,(Neither),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Very,Not at all,Somewhat,Favor,Favor,Too little,A great deal,More,Bringing people together / Sense of community,No,Very,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Lean liberal,Democrat,Strong, , , ,Yes,Very few or none received on a cell phone?,No,White,No,Urban,DO NOT READ -- (Refused_Dont know),CO,Female,65+,68,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Trump 10%+,Lean Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.730388228,Landline
5608,ID,Yes (All),1961,Strongly approve,Disapprove,Very,Somewhat,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Not very,Somewhat,Not very,Favor,Favor,Too little,A great deal,More,Spending more time with family,No,Very,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, , ,Yes,Some received on a cell phone and some on a regular home phone,No,White,Yes,Urban,"$30,000 to under $50,000",ID,Female,55-64,59,"Republican,",CONSRV (very + somewhat conservative),yes,West,Close,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.811244179,Landline
5609,MT,Yes (All),1957,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Somewhat,Very,Somewhat,Favor,Favor,Too little,A great deal,More,Spending more time with family,No,Very,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Democrat,Strong, , , ,Yes,Some received on a cell phone and some on a regular home phone,No,(Other):,Yes,Rural,"$100,000 or more",MT,Male,55-64,63,Democrat,"MODERATE,",no,West,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,.201866168,Landline
5612,NM,Yes (All),1963,Strongly disapprove,Approve,Very,Somewhat,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Strongly disapprove,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Very,Very,Somewhat,Favor,Favor,Just about right,A great deal,No difference,Preparation for the future / Better prepared for future outbreaks,No,Somewhat,No,Democrat Hillary Clinton,(2-year degree_community college degree),Moderate, , ,Dont lean either way,Democrat,Strong, , , ,Yes,All or almost all calls received on a cell phone,Yes,"Latino, Hispanic",No,Urban,"$100,000 or more",NM,Male,55-64,57,Democrat,"MODERATE,",no,West,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,1.042727612,Landline
5613,NV,Yes (All),1953,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Somewhat,Not very,Not very,Favor,Favor,Too little,A great deal,No difference,Giving the environment a break / Less pollution,No,Not very,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , , ,Yes,Some received on a cell phone and some on a regular home phone,No,White,No,Urban,"$75,000 to under $100,000",NV,Female,65+,67,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Close,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.730388228,Landline
5615,HI,Yes (All),1948,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Somewhat,Somewhat,Favor,Favor,Too little,A great deal,More,Learn valuable lessons / Chance for reflection,Yes,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , , ,Yes,All or almost all calls received on a cell phone,No,White,No,Small town,"$30,000 to under $50,000",HI,Female,65+,72,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.720735142,Landline
5623,NJ,Yes (All),1950,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly approve,(Neither),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,No difference,No silver lining,No,Very,Yes,Democrat Hillary Clinton,(2-year degree_community college degree),Moderate, , ,Dont lean either way,Democrat,Strong, , , ,Yes,Some received on a cell phone and some on a regular home phone,No,(Other):,No,Suburban,"$75,000 to under $100,000",NJ,Female,65+,70,Democrat,"MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,.247550903,Landline
5629,PA,Yes (All),1943,Somewhat approve,(Dont know),Very,Somewhat,Somewhat approve,Somewhat approve,(Dont know),(Dont know),Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Just about right,Somewhat,No difference,No silver lining,No,Very,No,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Democrat,Not so strong, , , ,Yes,Very few or none received on a cell phone?,No,White,Yes,Urban,"Under $30,000",PA,Female,65+,77,Democrat,"MODERATE,",yes,Northeast,Close,Moderate,Moderate,Somewhat Democrat,Lean Democarat,.830791485,Landline
5631,NY,Yes (All),1964,Strongly approve,Disapprove,Very,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is over,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not very,Somewhat,Not very,Somewhat,Not very,Favor,Favor,Just about right,A great deal,More,Learn valuable lessons / Chance for reflection,Yes,Not very,Yes,Republican Donald Trump,(Graduate degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, , ,Yes,Some received on a cell phone and some on a regular home phone,No,(Other):,No,Suburban,"$100,000 or more",NY,Male,55-64,56,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Close,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.208539304,Landline
5632,NC,Yes (All),1954,Strongly approve,Approve,Very,Very,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly disapprove,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not at all,Not at all,Very,Very,Not very,Favor,Favor,Too little,A great deal,No difference,Religious value / Increase in faith,Yes,Very,No,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, , ,Yes,Some received on a cell phone and some on a regular home phone,No,(Other):,Yes,Urban,"$50,000 to under $75,000",NC,Female,65+,66,"Republican,",CONSRV (very + somewhat conservative),no,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.250866448,Landline
5642,VA,Yes (All),1958,Strongly disapprove,Approve,Very,Somewhat,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Somewhat,Somewhat,Favor,Favor,Too little,A great deal,No difference,Bringing people together / Sense of community,No,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Very liberal, , ,Democrat,Strong, , , ,Yes,All or almost all calls received on a cell phone,No,White,No,Suburban,DO NOT READ -- (Refused_Dont know),VA,Female,55-64,62,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,South,Trump 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,.80052247,Landline
5650,MD,Yes (All),1966,Strongly disapprove,Disapprove,Somewhat,Not very,Strongly disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","No, does not describe","Yes, describes",Somewhat,Very,Very,Somewhat,Somewhat,Favor,Favor,Too much,A great deal,Less,No silver lining,No,Somewhat,Yes,Democrat Hillary Clinton,(High school graduate_GED_High school equivalency),Liberal,Very liberal, , ,Neither, , ,Dont lean either way, ,Yes,Some received on a cell phone and some on a regular home phone,No,"African-American, black",Yes,Urban,"Under $30,000",MD,Male,46-54,54,Independent + other,"LIBERAL (very liberal + somewhat liberal),",no,South,Clinton 10%+,Very Liberal,Very Liberal,Independent,Independent,1.244472736,Landline
5669,OH,Yes (All),1957,Strongly approve,Approve,Not very,Not very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Strongly approve,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not very,Not very,Not very,Not very,Not very,Favor,Favor,Just about right,Not much,No difference,Bringing people together / Sense of community,No,Somewhat,No,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Very conservative, ,Republican, ,Strong, , ,No, ,No,White,Yes,Small town,"$30,000 to under $50,000",OH,Female,55-64,63,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.910566772,Landline
5670,FL,Yes (All),1965,Strongly approve,Disapprove,Somewhat,Not very,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes",(Dont know),"Yes, describes",Very,Not very,Not very,Somewhat,Somewhat,Favor,Favor,Too little,Not much,No difference,Bringing people together / Sense of community,Yes,Somewhat,No,Republican Donald Trump,(Graduate degree),Moderate, , ,Dont lean either way,Neither, , ,Lean Republican, ,Yes,Some received on a cell phone and some on a regular home phone,No,White,Yes,Rural,"$75,000 to under $100,000",FL,Male,55-64,55,"Republican,","MODERATE,",yes,South,Trump 10%+,Moderate,Moderate,Lean Republican,Lean Republican,.75884378,Landline
5690,OH,Yes (All),1964,Strongly approve,Approve,Not at all,Not at all,Somewhat approve,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Somewhat approve,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not at all,Not at all,Not at all,Not at all,Not at all,Oppose,Favor,Just about right,Not much,More,Other,No,Not at all,No,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Very conservative, ,Republican, ,Strong, , ,Yes,Some received on a cell phone and some on a regular home phone,No,White,Yes,Small town,DO NOT READ -- (Refused_Dont know),OH,Female,55-64,56,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Close,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.910566772,Landline
5697,NY,Yes (All),1965,Strongly approve,Disapprove,Very,Somewhat,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Somewhat,Somewhat,Somewhat,Oppose,Favor,Too much,A great deal,More,Preparation for the future / Better prepared for future outbreaks,Yes,Somewhat,Yes,Republican Donald Trump,(Graduate degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, , ,Yes,All or almost all calls received on a cell phone,No,White,No,Rural,"$75,000 to under $100,000",NY,Male,55-64,55,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Trump 10%+,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.75884378,Landline
5710,FL,Yes (All),1970,Somewhat approve,Disapprove,Not at all,Not at all,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Wrong direction,Worst is over,Overreacting,Nothing could have prevented it from spreading the way it has,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Not at all,Oppose,Favor,Too much,A great deal,(Mixed),No silver lining,No,Not very,Yes,Republican Donald Trump,(Graduate degree),Conservative, ,Very conservative, ,Republican, ,Strong, , ,Yes,All or almost all calls received on a cell phone,No,White,Yes,Rural,"$100,000 or more",FL,Female,46-54,50,"Republican,",CONSRV (very + somewhat conservative),yes,South,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.189902947,Landline
5717,NY,Yes (All),1950,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Very,(Dont know),Favor,Too much,A great deal,More,Bringing people together / Sense of community,No,Very,No,Democrat Hillary Clinton,(Graduate degree),Moderate, , ,Lean liberal,Democrat,Not so strong, , , ,Yes,Very few or none received on a cell phone?,No,White,No,Suburban,"$30,000 to under $50,000",NY,Female,65+,70,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Clinton 10%+,Lean Liberal,Somewhat Liberal,Somewhat Democrat,Lean Democarat,.736575474,Landline
5719,ME,Yes (All),1962,Somewhat approve,Approve,Very,Somewhat,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,(Dont know),Somewhat approve,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Favor,Favor,(Dont know),Somewhat,More,Home improvements / Hobbies,Yes,Not at all,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way, ,Yes,Very few or none received on a cell phone?,No,White,No,Suburban,DO NOT READ -- (Refused_Dont know),ME,Female,55-64,58,Independent + other,"MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Independent,Independent,.80052247,Landline
5729,NJ,Yes (All),1958,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Somewhat disapprove,Wrong direction,(Dont know),Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Just about right,A great deal,No difference,Not sure / Refused,No,Very,No,Democrat Hillary Clinton,"(Some college, no degree)",Moderate, , ,Lean liberal,Democrat,Strong, , , ,Yes,Very few or none received on a cell phone?,No,"African-American, black",No,Small town,"$75,000 to under $100,000",NJ,Female,55-64,62,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Clinton 10%+,Lean Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,1.309746357,Landline
5740,NY,Yes (All),1948,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Somewhat,Favor,Favor,(Dont know),A great deal,(Mixed),Preparation for the future / Better prepared for future outbreaks,Yes,Very,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Republican, ,Not so strong, , ,Yes,Some received on a cell phone and some on a regular home phone,No,White,No,Urban,"$100,000 or more",NY,Female,65+,72,"Republican,","MODERATE,",no,Northeast,Clinton 10%+,Moderate,Moderate,Somewhat Republican,Lean Republican,.830791485,Landline
5741,PA,Yes (All),1942,Strongly approve,Disapprove,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,(Dont know),Reacting appropriately,(Dont know),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not at all,Not at all,Not at all,Not at all,Not at all,Favor,Favor,(Dont know),Somewhat,No difference,Religious value / Increase in faith,No,Very,No,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, , ,No, ,No,White,Yes,Rural,"$75,000 to under $100,000",PA,Male,65+,78,"Republican,",CONSRV (very + somewhat conservative),yes,Northeast,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.760416033,Landline
5743,NY,Yes (All),1960,Somewhat approve,Approve,Very,Very,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes",(Dont know),"No, does not describe",Not very,Very,Somewhat,Very,Very,Favor,Favor,Too little,A great deal,No difference,Preparation for the future / Better prepared for future outbreaks,No,Very,Yes,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, , ,Yes,Some received on a cell phone and some on a regular home phone,No,White,No,Small town,"Under $30,000",NY,Male,55-64,60,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Close,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.853752362,Landline
5745,VA,Yes (All),1960,Strongly approve,Disapprove,Not at all,Not at all,Strongly disapprove,(Dont know),Somewhat approve,Somewhat approve,Somewhat approve,Strongly disapprove,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes",(Dont know),Very,Not very,Not very,Not very,Not very,Favor,Favor,(Dont know),A great deal,No difference,Other,No,Not very,Yes,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Republican, ,Strong, , ,Yes,Very few or none received on a cell phone?,No,White,Yes,Rural,"$100,000 or more",VA,Male,55-64,60,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.844596143,Landline
